t,phi,omega,mu
0,-0.6981317007977318,0.007144379509414583,0.07144379509414582
0.1,-0.6974172628467903,0.011819416114482523,0.04675036605067941
0.2,-0.696235321235342,0.016494382189572113,0.046749660750895886
0.30000000000000004,-0.6945858830163848,0.021169231703021176,0.04674849513449063
0.4,-0.6924689598460827,0.025843918801957702,0.046746870989365266
0.5,-0.6898845679658869,0.030518397882231145,0.04674479080273443
0.6,-0.6868327281776638,0.03519263250729814,0.04674234625066999
0.7,-0.683313464926934,0.039866590166721914,0.046739576594237706
0.7999999999999999,-0.6793268059102618,0.044540229496313845,0.04673639329591932
0.8999999999999999,-0.6748727829606305,0.04921350957791551,0.04673280081601662
0.9999999999999999,-0.6699514320028389,0.05388638999389966,0.046728804159841444
1.0999999999999999,-0.6645627930034489,0.05855883087994443,0.046724408860447694
1.2,-0.6587069099154544,0.06323076750260048,0.046719366226560546
1.3,-0.6523838331651944,0.06790210939577809,0.04671341893177615
1.4000000000000001,-0.6455936222256167,0.07257293879268212,0.046708293969040235
1.5000000000000002,-0.6383363283463485,0.07724383065232972,0.04670891859647604
1.6000000000000003,-0.6306119452811155,0.08191857764329938,0.04674746990969654
1.7000000000000004,-0.6224200875167856,0.086597536596626,0.0467895895332663
1.8000000000000005,-0.6137603338571229,0.0912808401372326,0.04683303540606597
1.9000000000000006,-0.6046322498433997,0.0959688471184067,0.04688006981174102
2.0000000000000004,-0.595035365131559,0.10066187461342965,0.046930274950229486
2.1000000000000005,-0.5849691776702161,0.10535991857059093,0.04698043957161284
2.2000000000000006,-0.5744331858131569,0.1100618911171303,0.047019725465393694
2.3000000000000007,-0.5634269967014439,0.11475866322364957,0.04696772106519269
2.400000000000001,-0.551951130379079,0.11945017164450736,0.04691508420857786
2.500000000000001,-0.5400061132146282,0.12413686951937263,0.046866978748652685
2.600000000000001,-0.527592426262691,0.128819035611171,0.04682166091798372
2.700000000000001,-0.5147105227015739,0.1334967119942573,0.046776763830863086
2.800000000000001,-0.5013608515021482,0.1381703668302966,0.04673654836039297
2.9000000000000012,-0.4875438148191185,0.14284031476754247,0.046699479372458816
3.0000000000000013,-0.4732597833423643,0.14750672730741843,0.04666412539875957
3.1000000000000014,-0.4585091106116225,0.15217009575695983,0.04663368449541393
3.2000000000000015,-0.4432921010359265,0.15683079729534544,0.04660701538385616
3.3000000000000016,-0.42760902130639195,0.16148915890885837,0.04658361613512936
3.4000000000000017,-0.4114601054155061,0.1661457197141495,0.04656560805291125
3.5000000000000018,-0.3948455334440911,0.17080156347411835,0.04655843759968857
3.600000000000002,-0.3777653770966793,0.175456936562643,0.046553730885246405
3.700000000000002,-0.360219683440415,0.18011186459558107,0.046549280329380674
3.800000000000002,-0.34220849698085687,0.1847664867517197,0.046546221561386145
3.900000000000002,-0.3237318483056849,0.18942167548379635,0.04655188732076655
